WY_id,1,2,3,4,5,6,7,8,9,10,avg
94,6.0,3.0,6.0,10.0,11.0,12.0,13.4,12.4,11.0,12.0,9.7
115,11.0,10.0,9.0,10.0,8.6,9.6,8.0,9.0,9.0,10.4,9.5
125,11.0,12.0,13.0,12.0,12.0,12.0,13.0,11.4,10.0,7.6,11.4
161,7.0,6.0,6.0,6.4,7.0,6.0,7.4,7.0,8.0,7.0,6.8
227,11.0,14.0,16.0,17.0,16.0,18.0,17.4,18.4,17.0,17.0,16.2
231,,,,,,,,,,8.0,8.0
239,12.0,13.0,12.0,11.4,13.0,11.4,11.0,12.0,11.0,11.0,11.8
245,10.0,11.0,11.0,11.4,11.0,8.0,9.6,8.6,11.0,8.4,10.0
246,10.0,8.0,8.0,9.4,10.0,10.0,10.0,10.0,9.0,9.6,9.4
250,13.0,10.4,10.0,8.0,9.0,10.0,9.4,10.0,12.0,13.0,10.5
251,2.0,9.0,6.0,9.0,5.0,10.0,10.0,12.0,,8.0,7.9
253,8.0,10.0,6.0,7.6,10.6,9.0,10.8,9.0,9.0,9.0,8.9
254,14.0,14.0,13.0,14.0,14.0,13.0,13.0,12.0,13.0,14.0,13.4
256,19.0,18.0,18.0,19.0,20.2,19.0,20.6,19.4,19.0,19.0,19.1
257,12.0,13.0,15.0,15.0,15.0,14.0,12.4,13.4,12.0,13.0,13.5
259,22.0,22.0,21.0,20.0,23.0,21.0,22.6,22.0,22.0,24.4,22.0
260,15.0,15.0,17.0,16.0,14.0,14.0,15.0,15.0,14.0,16.0,15.1
261,19.0,19.0,18.0,19.0,18.0,17.0,18.4,19.8,20.0,18.8,18.7
262,20.0,18.0,17.0,18.0,20.4,19.0,18.0,16.4,18.0,18.0,18.3
263,18.0,19.0,19.0,17.0,19.0,16.0,18.0,18.4,19.0,20.0,18.3
avg,12.631578947368421,12.863157894736842,12.68421052631579,13.168421052631578,13.515789473684212,13.105263157894736,13.578947368421053,13.484210526315788,13.555555555555555,13.209999999999999,12.925
total,252.6315789473684,257.2631578947368,253.68421052631578,263.36842105263156,270.3157894736842,262.10526315789474,271.57894736842104,269.6842105263158,257.55555555555554,277.40999999999997,271.425
